Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Curtis Martin*+,NYJ,31,RB,16,16,371,1697,12,93,25,4.6,106.1,2
Rudi Johnson*,CIN,25,RB,16,16,361,1454,12,74,52,4.0,90.9,4
Shaun Alexander*,SEA,27,RB,16,16,353,1696,16,78,44,4.8,106.0,5
Corey Dillon*,NWE,30,RB,15,14,345,1635,12,84,44,4.7,109.0,5
Clinton Portis,WAS,23,RB,15,15,343,1315,5,67,64,3.8,87.7,5
LaDainian Tomlinson*+,SDG,25,RB,15,15,339,1335,17,74,42,3.9,89.0,6
Edgerrin James*,IND,26,RB,16,16,334,1548,9,78,40,4.6,96.8,6
Tiki Barber*,NYG,29,RB,16,14,322,1518,13,82,72,4.7,94.9,5
Domanick Williams,HOU,24,RB,15,15,302,1188,13,57,44,3.9,79.2,4
Willis McGahee,BUF,23,RB,16,11,284,1128,13,65,41,4.0,70.5,4
Reuben Droughns,DEN,26,RB,16,15,275,1240,6,72,51,4.5,77.5,5
Deuce McAllister,NOR,26,RB,14,14,269,1074,9,54,71,4.0,76.7,5
Emmitt Smith,ARI,35,RB,15,15,267,937,9,43,29,3.5,62.5,4
Warrick Dunn,ATL,29,RB,16,16,265,1106,9,47,60,4.2,69.1,3
Fred Taylor,JAX,28,RB,14,14,260,1224,2,49,46,4.7,87.4,3
Ahman Green*,GNB,27,RB,15,15,259,1163,7,58,90,4.5,77.5,7
Jerome Bettis*,PIT,32,RB,15,6,250,941,13,50,29,3.8,62.7,1
Kevan Barlow,SFO,25,RB,15,14,244,822,7,45,60,3.4,54.8,2
Kevin Jones,DET,22,RB,15,14,241,1133,5,59,74,4.7,75.5,2
Thomas Jones,CHI,26,RB,14,14,240,948,7,49,54,4.0,67.7,2
Jamal Lewis,BAL,25,RB,12,12,235,1006,7,51,75,4.3,83.8,2
Chris Brown,TEN,23,RB,11,11,220,1067,6,40,52,4.9,97.0,6
Michael Pittman,TAM,29,RB,13,13,219,926,7,41,78,4.2,71.2,6
Nick Goings,CAR,26,RB,16,8,217,821,6,42,57,3.8,51.3,1
Lee Suggs,CLE,24,RB,10,3,199,744,2,39,39,3.7,74.4,6
Julius Jones,DAL,23,RB,8,7,197,819,7,44,53,4.2,102.4,3
Priest Holmes,KAN,31,RB,8,8,196,892,14,59,33,4.6,111.5,4
Marshall Faulk,STL,31,RB,14,14,195,774,3,46,40,4.0,55.3,2
Duce Staley,PIT,29,RB,10,10,192,830,1,38,38,4.3,83.0,3
Brian Westbrook*,PHI,25,RB,13,12,177,812,3,41,50,4.6,62.5,1
William Green,CLE,25,RB,15,13,163,585,2,29,46,3.6,39.0,3
Chester Taylor,BAL,25,RB,16,4,160,714,2,34,47,4.5,44.6,1
Antowain Smith,TEN,32,RB,13,4,137,509,4,23,43,3.7,39.2,2
Steven Jackson,STL,21,RB,14,3,134,673,4,37,48,5.0,48.1,1
Eddie George,DAL,31,RB,13,8,132,432,4,28,24,3.3,33.2,3
Sammy Morris,MIA,27,RB,13,8,132,523,6,33,35,4.0,40.2,1
Onterrio Smith,MIN,24,RB,11,6,124,544,2,18,38,4.4,49.5,2
Anthony Thomas,CHI,27,RB,12,2,122,404,2,16,41,3.3,33.7,1
Larry Johnson,KAN,25,RB,10,3,120,581,9,36,46,4.8,58.1,0
Derrick Blaylock,KAN,25,RB,12,5,118,539,8,34,24,4.6,44.9,0
Amos Zereoue,OAK,28,RB,15,6,112,425,3,20,55,3.8,28.3,1
Travis Minor,MIA,25,RB,11,4,109,388,3,22,34,3.6,35.3,0
T.J. Duckett,ATL,23,RB,13,0,104,509,8,30,35,4.9,39.2,2
Maurice Hicks,SFO,26,RB,9,2,96,362,2,20,35,3.8,40.2,3
Travis Henry,BUF,26,RB,10,5,94,326,0,18,19,3.5,32.6,0
Dorsey Levens,PHI,34,RB,15,5,94,410,4,25,45,4.4,27.3,0
LaMont Jordan,NYJ,26,RB,16,0,93,479,2,27,33,5.2,29.9,1
